text_id_kaggle,full_text,gender,grade,race_ethnicity,num_words,num_words2,num_words3,num_sent,num_para,num_word_div_para,MTLD,TTR,Type,Token,task,SES,prompt,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions
0E24F8C90CFB,"Some students may think that taking classes online is the best thing for them. Meanwhile, the other half of students think going to school suits them the most. I think students would benefit from being able to attend classes from home, because it would be easier for them to stay focused, give themselves as much time as possible, and get to know what the best and correct choice is for them.

Majority of the time kids struggle focusing in a class full of friends and strangers, which causes them to lose focus in the assignments they're given and start having conversations with other classmates. Some know that they're the type of person that can't keep their mind in one certain place, so their minds wonder off into a whole different planet. Meanwhile the other half of students know that they're capable of staying focused no matter what the situation is. Doing work online though, prevents all of that from happening. It gives students time to think about what exactly it is that they're doing and need to get done, and prevent any mistakes from happening on a certain task or assignment. Staying focusing is very important, if students stay focused then they'll get things done in time or even done before the actual due date or time, and not have to worry about doing it later on.

Giving them enough time as possible to get tasks done is important. Most teachers will give you a certain time limit to get things done, which of course will cause them to get it done in the certain amount of time they were given so that they get it all done as quick as possible. Online on the other hand, can also have certain due dates and times that you have to turn work in but you're more relaxed and calm about things because you have more time in your hand and can think things more in depth, instead of just having to think of things right out of the top of their heads. Doing things on their own time and paste is best for any student, they can find it easier to concentrate and don't have to think oh no I still haven't finished this, or it's almost time to hand it in but i'm barely done with the first section.

As students spend more time alone, they sometimes tend to think about what's best for them as an individual. Some might say that, they work better independently, because they know they aren't able to handle being around other students 24/7, losing their ability to focus, or just hate being around people in general because they know what others are capable of. Whereas, other students may think the opposite and feel like they can work being around other people no matter what type of situation they're in. Just working alone can get them to really go in some deep thinking about what's the best descision for them and know what's going to be the best choice in the future or even in the present.

In conclusion, I think attending classes from home has plenty of benefits, like giving students more time to think, having a lot more time to focus, and getting to know whats best for them. Just imagine being in a class full of 100 students everyday, all talking at the same exact time and yelling across the classroom trying to get friends attention, what would you do? ",Female,11,Hispanic/Latino,532,595,578,19,5,115.6,57.66275753,38.48739496,229,595,Independent,Economically disadvantaged,Distance learning,5.0,4.5,4.0,5.0,4.5,5.0,4.5
88816FFD8A5C,"Online Learning

Who doesn't want to be left in the house all day using an electronic device with online access? Although students save money and time by taking classes from home. It is not beneficial to learn online because students lose focus of what they are learning and tend to easily get distracted when they're in their house, students can't have a one on one conversation with a teacher nor discuss with classmates, and students could also face technical difficulties when attending online classes from home.

Losing focus has a big impact in learning. For example, my friend Generic_Name sent me a text message last month, right when I started studying for my history mid-term exam. I responded back to Generic_Name's text, and without realizing we kept on messaging past midnight. This shows how easily students get distracted at home with a cellular device and how easy it is to lose focus. The next morning I decided to get to school an hour early and review one on one with my teacher.

Secondly, taking classes online doesn't just mean you don't have a physical teacher or instructor that you can question lively, but also means that it will be challenging to find answers to your questions. I remember in my sophomore year a kid in our econ class named Generic_Name was really sick for a while so he had ended up taking classes online. Generic_Name was a straight A student, always was first to answer the teachers questions and he also used to ask questions. Thankfully Generic_Name healed towards the end of the year and I asked him if he benefited and if he recommends attending classes from home. The straight A student Generic_Name said it was a real challenge to take the class online and he finished the class a month after he should have with a B- average. Generic_Name had also said that one of the most difficult parts about attending a class online was his laptop not functioning at all times, and not having a teacher you can talk and converse with one on one.

Finally, using your personal computer and internet connection can always be an issue. You can't always depend on your computer, not just the computers but even people aren't perfect. Another main problem Generic_Name had when attending classes online was his laptop and network connection. Generic_Name explained that he always faced technical difficulties. When his laptop wasn't functioning right, the only thing he could do was to stop the lesson and wait for his dad to get the laptop repaired, which took time. Each month, either his laptop or internet connection would not cooperate, so he finished the class a month later than everyone.

In conclusion, Everyone would like to save money and time by taking classes from home. But getting distracted, not asking your teacher questions when you need to, and wasting money on laptop repair is not worth it at all. Learning from a far distance could also be an option but when asking if it is beneficial, we can say that it is not by looking at the listed reasoning.    ",Male,11,Black/African American,526,530,520,23,6,86.66666667,74.96463832,44.52830189,236,530,Independent,Not economically disadvantaged,Distance learning,5.0,4.0,5.0,4.0,4.5,4.5,5.0
52DC3B7C3952,"Working From Home

Should students be allowed to attend classes from home? I agree that attending classes while at home would be beneficial for many people and can actually help them work better. One reason is that it would be less stressful for the student and put a lot less pressure into getting the work done. Another reason is that it would give them more time to work, for example they could relax and take little breaks while working instead of having to cram all that work into one class session. My last reason is that it would help improve grades. If a student is allowed to work while being at home, it would allow their brain time to think more about their work and how they can improve it.

Attending classes from home would be less stressful and put a lot less pressure on the student. For example, one class session is an hour and thirty minutes. Teachers give a lot of work to students and expect them to get it done without any problem, but the problem is they can't because being forced to do a lot of work is not very fun and with very limited time can put a lot of stress on the teenage brain and also damage their mental health. Expectations now a days are really high for students but their mental health and state aren't taken into consideration.

Time is of the essence. Students need time to get their work done and whatever they aren't able to complete becomes homework. Having to do a lot of work without being able to take a break can really suck. Imagine if you had to do a bunch of work without being able to take a rest because whatever you don't complete you're gonna have to complete at home. If students could work from home, they'd have all the time they need to get their work done and they could take a break if they got too tired. At home students wouldn't have to worry about time because they could complete the work at their own pace.

Grades are important, and when a student gets a bad grade, it isn't exactly the best look. Working from home would allow students more time to think about their work, when in a classroom students can't spend a lot of time thinking because they don't have much time. On the other hand, being at home would give them all the time they could possibly need to complete their work and how they could improve it for a better grade. If students could improve their work they would get better grades, and there's no better place to do that then home, the place you're most comfortable with.

To sum it all up, students should be allowed to attend classes from home because it causes less stress and pressure which is better for their mental health, gives them more time to think and do their work, and helps improve their grades while in a place they're more comfortable with.",Male,11,Asian/Pacific Islander,550,522,508,21,6,84.66666667,57.06088457,31.99233716,167,522,Independent,Economically disadvantaged,Distance learning,5.0,5.0,5.0,4.5,5.0,5.0,5.0
A1EC959B8C13,"Would it be surprising to know if students to know that students learning at home helps them not stress out as much? Stress is mainly caused by the students getting to much school work that cannot be handed in one night. Students complain about having too much homework and when working at home there is not any homework. Allowing any students to work on their own schedule help them become more motivated to work on their assignments. Students being educated at home gain more time to study and make up their own rules but responsible with it. Learning at home and not at school helps students to benefit themselves to get better grades.

One of the advantage of homeschooling is it can be done anywhere and at anytime. Because it can be done by a touch of a good night sleep, students rise up in morning fresh and have a flexible time schedule. The students can work around their parents schedule instead of the parent working around the student's schedule when it is time do some distance learning. Some students have trouble working at a school because they cannot understand the material at the pace set by teachers. The students cannot always work at the pace set by teachers. Distance learning allows students to work on their own pace and on their own schedule. Additionally, that there are no misguided rules about tardiness or how to dress. Because instead of worrying about the rules the students can focus on their studies. Distance learning can improve certain students learning process by having a more available schedule and by letting them learn in their own way.

When taking a test or notes at school there are many distractions that can make students lose focus on what they are doing. This is another reason that learning from home benefits students. Learning from home doesn't have the distractions that a classroom has. As a result of this, students won't lose focus on the work they are doing resulting in better grades. One of the reasons students get distracted in the first place is because they are in a class where other just fooling around which makes others who want to stay focus feel uncomfortable. If a student learns from home they will feel more relaxed and comfortable and won't stress about work. In school, you are stuck at a desk listening to the teacher's teachings for six hours and have a limited time to eat and take bathroom breaks. But there is other way around, if you are home, you can eat and do what you want when you want. Because of this, students will feel less pressured and get better grades then they would have if they were in school.

There are still a few reasons not to do distance learning. There many more opportunities with public and private schools. People from different colleges don't go to student's homes and try to advertise their career options. Making friends from home would be difficult without social interaction. Public and Private schools are great places to socialize during free time. If everyone goes home to attend school, funding for public schooling will fall and teachers will lose their jobs because of budget cuts. In public schools and private schools, depending on the teacher, cheating is hard to do. On the other hand, schooling at home, the students can easily look up the answers on the internet on a different device. So for all that matter it was you choose from not what want, it what you need.

Students should be offered classes online or at home because it is less distracting and less stressful. The flexibility of the time students are allowed to complete work would benefit the mental health and grades of the student. With a more flexible schedule, students would be more likely to succeed and make good grades. Even though socialization in the school environment allows students to make friends. The conclusion of the argument was that it is highly doubtful that the lack of interaction could affect the student in adulthood. Many students all over the world successfully take some, and even all classes from home. In the near future, school systems and all districts should provide distance learning.",Female,12,Hispanic/Latino,696,718,708,40,5,141.6,57.78121081,36.62952646,263,718,Independent,Economically disadvantaged,Distance learning,4.5,4.0,4.5,4.5,4.0,4.5,4.5
DA8F8C0D6952,"I believe that students attending school from home will benefit for many different reasons. Students who experience anxiety attacks, depression, bullying, or just not being able to attend school for the day will find great use in online school, they can connect with their classes or teachers without being in school and not have to miss out on important information or work. Students are able to be in a safe environment at home if they do not feel comfortable in school.

Furthermore, students with anxiety or depression may have a harder time going through out the school day then their peers. For example, my girlfriend who has very often panic attacks, dislikes attending her current school. She was a new transfer student to the school and was also new to the school itself. She found it hard to not have anybody to go to and vent during the school day which causes her to stress and have anxiety. Moreover, she gets very often panic attacks during the day which makes her not want to come to school more often. She finds it easier and safer to stay at home. When ever we're on the phone over face time, she's always doing her class work that she takes home to complete. She's a hardworking student and always does her work but because of the environment she's in, it limits her on what she is capable of.

Not only that it would help students feel secure, but for the students who are sick for the day and cannot attend school, wouldn't have to miss out on important information or work. For example; there are days where I just feel weak and tired but I wouldn't want to miss a review day for a major test the next class. If there was online school, I would be able to connect with my teacher and the classes from home where I feel comfortable. Also, my mom wouldn't have to worry that i'm failing my classes because i'm not showing up to them. I believe that other students would agree with me on this argument because almost everyone I know, wishes they could attend school from home.

Moreover, adults might not have knowledge of this, but let me tell you; there is a lot of drama and rumors in every high school. No matter where it is, the policies it has, the advances of the students, there is drama. And drama is one major factor on why students wishes to attend school at home. Just Imagine the advances of our present civilization if there was no drama at school, and no have you heard this or have you heard that. Drama and rumors are big time distractions to daily school work and it peaks the interest of every student. By enabling online school, students dedicated to become scholars are able to take this distraction out of their equation. They can attend school without dealing with the big mouths talking up and down and all around the school.

Overall, distance learning has a very good impact on the students. Students feel safer at home, and when they are sick or cannot attend school for they day, they wouldn't have to miss out on important information or work. Online school would be very beneficial for everyone.",Male,11,Asian/Pacific Islander,525,561,549,26,5,109.8,56.23997059,37.25490196,209,561,Independent,Not economically disadvantaged,Distance learning,4.5,4.0,4.5,4.5,4.5,4.0,4.5
CD9FDD5F9F9E,"Does failure play a big role in success? Former British Prime Minister Winston Churchill once said that, ""success consists of going from failure to failure without loss of enthusiasm."" Although failure often just ends up in failure, I agree with Winston Churchill's statement that failure can lead to success if people continue to use enthusiasm.

First of all, many of our inventions used today are a result of failures.

For example, Edison created the lightbulb, but failed many times before he discovered electricity.

He used his faith and motivation to not give up and keep trying even though he had many set backs.

He accidently made a circular shaped like glass ball which became a source of electricity. If Edison did not keep trying, we would not have electricity today. Also, many scientists have created medicines after many failed attempts.

For instance, there is now a chicken pox shot that prevents people from getting the chicken pox.

Through many experiements with mixure of chemicals and failed trials, scientists were eventually able to find a shot that prevents chicken pox from entering your system. These examples show that failures often lead to success if people never give up trying.

Second of all, many students have failed in school, but if they keep trying and keep their enthusiam, they will succeed. For example, I have had a hard time in school, especially with passing my sol's. When time goes on, I try harder and harder, and spend more time studying with my teacher.

As of today, I have passed all of the sol's I need in order to graduate except for the one I am writing about right now.

I also have a learning disability and ADHD and have a hard time paying attention and often lose focus in my classes.

Even with my disability, I have not given up and keep coming to school and get extra help from my teachers so that I can graduate this year.

I make sure I follow the rules, don't skip class, or don't miss school becuase it's so hard for me to make up what I miss. Although many seniors like to skip class, I do not skip becuase I want to earn a high school diploma. Even in education, there are failures, but through hard work and a good attitude, students can succeed.

In conclusion, I agree with Chruchill's statement ""success consists of going from failure to failure without loss of entusiasm.""

Even though people will experience failures, there will be success if they work hard, keep the enthusiiasm, and never give up. ",Female,12,Asian/Pacific Islander,400,437,430,23,14,30.71428571,82.87871186,46.22425629,202,437,Independent,Not economically disadvantaged,Success and failure,4.5,4.5,4.5,4.5,4.5,4.5,5.0
5D4D6519DF94,"Haile G/Selasie, one of the most famous long distance runners of all time, did not pave his way to success because he was born with it. He came from a poor family, and walked a long distance to his school everyday. When he started running, he was not good at all. He worked day and night to get to where he is. And when he speaks about his past, he tells the story of how he failed again and again a lot of times but he never lost his passion for his dream. And now he is one of the richest people in Ethiopia and one of the best record holders of Marathon.

Success is a dream for most and a reality for only a few. When it comes to how success is achieved, it creates a great question in all our minds and that is,""How can I be successful?"". Some say that success is achieved by going through failures without giving up or without losing hope. That is a truly arguable idea and some might think different. But I fully agree with that idea.

The fact that almost all of the masterminds that are known for their creations of the bulb, physics theories, telephone and many more of the things we take for granted at the moment told the story of how they tried and failed many times than they count. And that is one proof of the point that success doesn't come without failure.

There might be some people that argue this point by pointing out that many people have tried and failed and tried again but it didn't help them achieve their dreams. That is a good point but the fact is that failing is not the only thing that determines your success, but failing and not being discouraged is what really counts. If we plan to achieve a goal, we shouldn't lose our excitement for that specific thing we're doing, we should rather be more encouraged to try harder and to find another way to make it work.

For example, when we first built a rocket,it wasn't done in a day or in the first try. Engineers tried to fix the problem in the mechanical part. Scientists tried to see if their calculations was wrong or if the combination of the chemicals didn't work and many others tried to fix it but they failed more than a couple of times. By not giving up though, it was a success at last.

It might not always seem like it but failure leads to success. The main point is not giving up and not losing our enthusiasm. As the saying goes, ""If you fail once, try and try harder"". Never give up on your dreams and don't be discouraged by failure.                                                                                                                                                                                                              ",Male,12,Black/African American,580,473,463,24,6,77.16666667,50.35469632,44.18604651,209,473,Independent,Not economically disadvantaged,Success and failure,4.5,4.0,4.5,4.5,4.0,5.0,4.0
02440F360C5A,"Failing at something and getting back up again is one thing, giving up is another. We all should make sure that what we're doing to get somewhere, we do it right or don't do it at all. Former British Prime Minister Winston Churchhill had a point; he said something that strictly proves an everyday thought. I agree because I believe that without failing at something, you won't learn until you get it right. You must have mistakes to understand it properly, and to not mess up in the future. One reason why failure wouldn't play an important role in pursuit of success is because you cannot just see something and know everything about it; take time and study the material. There are a lot of high, advanced learners who would agree with this statement as well. We all learn the hard way or won't learn at all. As humans, we all get inspired by something. We make sure to achieve it and even learn about it, to do it.

One example about failure playing an important role in pursuit of success is my mother. My mother, Generic_Name, came to United States as a teen and even had me as a teen. She came here expecting to do big things; opportunity's she didn't have in her country. As years passed by quick, she realized her goal on succeeding wasn't going as expected. My mother focused on money, but that wasn't the only thing she was mostly focused on. She focused on me. ""I have to set a good example for someone who was actually born here and won't struggle like me, someone who wasn't born here and is struggling."" is what my mother said to me when I was 7. My mother realized she had to do something to get ahead of her deep, personal thoughts. Neither did my mom think negative about her decision, nor did she give up. She had a choice, she either stressed about her decision or went for it with all positive notice. 10 years have passed and my mother is now working for Generic_School as a supervisor at Genereic_School. As she's setting a good example for me, I realized that hard work pays off, and without you feeling like giving up, messing up a topic, and being stressed, you won't get to the point you want to be at. I thank her for every detail she's given me based on her struggles and dificulties. I'm 17, I realized at this age that struggling isn't just what you're going to feel when you're depressed nor when you're going through a hard time you don't want to go through, you're going to experience struggle when youre trying your best to get at something, for it is the one thing you want to succeed in, and that it is okay to feel like you're struggling, it's just the beginning trail to the future you're inspired by. ",Female,12,Hispanic/Latino,554,513,488,25,2,244.0,50.43155136,41.13060429,211,513,Independent,Economically disadvantaged,Success and failure,4.0,3.0,3.5,4.0,4.0,4.0,3.5
E0E060143B79,"Do you think failure lead you to do better? In this paper i will argue about never losing enthusiasm by falling and falling. Failure should be just another way to do better, because you try until you get it right, when you fail; failure lead you to success in life. Also, enthusiasm and try is the key to success.

First of all, when you try until you get it right, sometimes you get really frustrated. For example; in freshman year i remember that i couldn't actually get good grades in my algebra class, i remember that i try and try my harder to get good grades. I even stayed after school, I was doing my homework, i was watching videos from my teacher. However, i was still getting bad grades in my class but i keep trying and i finally become a success in the class.

Secondly, when you fail; failure lead you to success in life. When you are working on a project or you are working on a personal goal sometimes thing doesn't actually goes the way you had planted. For example; if you are trying to solve a mathematics problem but you never get the solution you're supposed to get. Although, you keep trying and you always fail, you actually learning from it. However, by keep trying your best you actually getting experience from your failure and that helps you to success later in life.

Finally, enthusiasm and trying is the key to success. For example; when you want to achieve something but you fail, each time you're losing enthusiasm because you think that you can not do it, but if you keep trying and trying their will be a time that you will going to success and you would said that you try your best and never lost enthusiasm for your goal.

In conclusion, some people said that failure doesn't lead you to success, but they wrong because the more you fail, the more you try, and when you get it right, it will be a completely success for you. Going failure to failure led you to a good way to do better in life because the harder you try the better you do to success. In the future never stop trying without losing enthusiasm because enthusiasm is the key of your success.",Female,11,Hispanic/Latino,371,392,387,18,5,77.4,40.6416538,33.67346939,132,392,Independent,Not economically disadvantaged,Success and failure,4.0,3.0,3.5,4.0,4.0,3.5,3.5
6AC5C9BCE8D1,"One of Winston Churchill famous quote is ""success consists of going from failure to failure without loss of enthusiasm"". Some people think that success consists in the good things that people do. They feel that if people failure in something they were not good enough to obtain what they wanted to do. I believe that failure without lose the enthusiasm is the key for success because you learn from mistakes, obtain what you want, makes yourself a better person.

One reason why is that if you failure in something you will learn from all mistakes that you did on what you was doing and what kept you in failure. If you are smart and you learn from bad decisions that you took in the past, you will gain everything. We all take bad decisions but once we take it, we most have to learn from all obstacles and experiences that face us. So don't worry or be sad if you failure in something you always will learn from it. We are humans and not for be humans we are perfect, we all take decisions in our lives and sometimes are the wrong ones but always is an experience that we live.

Another reason is that if you failure and never give up you will obtain all that you want to do in life. There are going to be many negative people in your life and they will tell you ""give up and that stop do what you want"", but not let them be an obstacle to keep fighting for what you want. Once you obtain what you want, you will realize that failure is not an obstacle to keep you positive and to gain everything you want. Sometimes you will face with difficult obstacles but if you really want to obtain what you are doing, that is not going to be something for give up easily.

The final reason is that you are going to be better person if you obtain everything you want but in a positive way. If you don't let failure win each day you will be a better person and someone that keep fighting for their dreams. You will show to others that give up and failure is not an option to be a better person and to obtain everything you want in life. Everything well that you do, it will guide you to the success.

As you have read failure is not an obstacle to obtain everything that you want. Only when we realized that give up and not fight for our dreams is not an option. We will see the results of everything we were fighting for each day. On that day our society will be a better place and we will have many people that fight for their dreams and they will learn that failure is just an obstacle not an option to give up. ",Female,12,Hispanic/Latino,460,484,482,21,5,96.4,39.87778798,29.54545455,143,484,Independent,Economically disadvantaged,Success and failure,4.0,4.0,4.0,4.0,4.0,3.5,4.5
