text_id_kaggle,full_text,gender,grade,race_ethnicity,num_words,num_words2,num_words3,num_sent,num_para,num_word_div_para,MTLD,TTR,Type,Token,task,SES,prompt,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions
5AA45740A848,"Dear, TEACHER_NAME

I think phone policy at school should not let students use their phone during class or free time. For several reasons. First, school has to be an area of education and not of free time. Because in my point of view its a distraction to your self and the people around you. Second, phones could get stolen by the people you don't get along with. Also, another reason for school policy to know is that it can cause drama between friends and also people you don't know. Finally , phones can cause cheating, cheating is what school doesn't want so that's one of my main reasons why i don't want phones being used in school hours,",Male,8,Hispanic/Latino,111,122,118,7,2,59,70.94670118,65.57377049,80,122,Independent,Economically disadvantaged,Cell phones at school,3,3.5,2.5,3.5,3,3.5,2.5
790891A35047,"Dear, Principal

In my opinion, I think that you should allow students to bring their phones to school, but with the condition, to use them outside their classes. Students need their phones for any emergencies. However, students are to understand that teachers don't want them to be disturbing the class. Also, I think that the students know better to turn off their phones, if they don't want their phones to be taken away. Students still bring their phones to school whether you teachers and principal don't allowed them to. So, I absolutely agree with the policy of letting students bring their phones",Female,8,Hispanic/Latino,99,105,102,6,2,51,51,55.23809524,58,105,Independent,Economically disadvantaged,Cell phones at school,3,2.5,3,4,3.5,3,3.5
C254D74362A3,"PHONES

Dear principal students should have phones at school because there can be an emergence. Policy 1 said that students can use there cell phones only free time and lunch and it's a good idea because if students didn't have phones it will be bad because there family wouldn't be able to reach them if there was a problem. If the students fell sick they can call there parents and go home because some teacher don't let the students go to the nurse if they fell bad. The students should turn off there phones when there in the class but they don't because the stuff that there learning is so boring and they don't want to do everything so they text there friends so the teacher should make",Female,8,Hispanic/Latino,121,134,128,4,2,64,42.33333333,54.47761194,73,134,Independent,Economically disadvantaged,Cell phones at school,3,2.5,3,3,3,3.5,3
0985602832CD,"phones

i think phones should be allowed in school because if you forgot like a book or something you could call your parents to go get it so you don't get in trouble in class or if your like sick you can call your parents or guardian to bring your medicine because you can't get your medicine in school or if your lost in like a field trip you can call your parents to pick you up and without a phone you'll be lost or get in trouble or and that's why phones in school but i think it should be turned off during class other then that you won't get lose or get busted for not having any supplies but with a phone you won't get lost or miss anything you need for school and that's why i think phones should be allowed in school. and nothing will happen to you but if you have a phone I think you'll good or maybe even if you have tutoring and your mom doesn't show up or forgot you can call her and that's why i think phones should be allowed in school.",Male,8,Hispanic/Latino,182,202,192,2,2,96,40.93999639,38.11881188,77,202,Independent,Economically disadvantaged,Cell phones at school,3,2,2.5,3,3,3,2.5
3AB3FC197550,"Do you really think students need cell phones during school hour. While school hours u need to learn not being on the phone the whole day.

you need to pay close attention to the teacher instead of being on the phone texting or calling someone. I don't think u need a cell phone I would just say for emergencies. Imagine being on the cell phone the whole school hours and never paying attention that just is going to make you not graduate from school just because you never payed attention because a phone. I wouldn't risk my future cause just of a phone

There's so many reasons why they shouldn't allowed cellophane's and here are some' s. first of all their very distracting. let's see while the teachers are explaining something to you and your somewhere texting or calling what are you learning NOTHING!! it's difficult to bring things back and to learn them. Learning new stuff is sometimes difficult imagine trying to learn all the thing that you missed.

Another reason is that when they grow up they aren't going to graduate because they never payed attention at school. And they wouldn't have a good career like they alwayst dreamed",Female,8,Hispanic/Latino,192,210,201,11,4,50.25,54.98503122,53.33333333,112,210,Independent,Not economically disadvantaged,Cell phones at school,3,2,3,3,3,3,2
33ADAAB38BFC,"Should students be allowed to have cell phones during school? I think that students shouldn't be able to have cell phones at school at all because first its to distracting and the student wont be learning anything because he/she would be occupied doing something there not supposed to be doing. Second is school is a leaning environment not a place to be doing other things with your cell phone we come to school to learn! The third why i think having cell phones on campus is because we all have ore free time to do whatever we have to do.

The first reason why i think havening cell phones on school campus is because its really distracting and we wont learn anything because well be occupied on our cell phones. For example , we need to forces on more important things such as school work and maybe after school activates. I think we shouldn't be able to have our phones because 50% of students that have cell phones fail there classes because while the teacher is explaining something important the student us either messing around or texting another student which is not only affecting he/she but others around them.

The second reason why i think cell phones shouldn't be allowed on school campus is because school is a place to learn not use your phone in class. We come to school for one reason and one reason only at that is to go to school and get the education we need for a better future and all of the above. We need to help all students get ahead of life and have good jobs that they could all be proud of.

The third reason why i think having cell phones at school is a bad idea is because we all have free time i do understand we also have to have a social life and communicate with other students or peers. Not everything is fun and games sometimes we just need to expect the what our parents do what they do because they love and care about us.

We shouldn't be able to have cell phones because honestly its just a waste of time and we could do so much better and if we do a good job in school than we would have time for other things because in life there is time for everything but it also has its own time. we shoulnt be abl",Female,8,Hispanic/Latino,399,412,407,14,5,81.4,50.375,35.4368932,146,412,Independent,Economically disadvantaged,Cell phones at school,3,3.5,3.5,3.5,3,4,3
52B24BAEDC8C,dear TEACHER_NAME i think the you should let students use their cell phones during free times like lunch time and in class when their teacher give them free time in class or during the morning because i think it's not fair because only teacher can use their phones and not us because what if we get an emergency call like the teacher and we have to go home because that's what the teachers do when they get and emergency call they get sub and go home what if something like that happens to us what if someone has and a emergency like get hurt in p-e time or something else because that's why we get phones for an emergency so that's why i believe is better to let student's use their cell phones on free time or lunch time or an emergency call because something might happen on time or they want to talk to their friends on my space or internet to talk to their cousins or family or want to call their family to know what are they doing or if they are ok or if they need enything or if their parents are going to pick them up after school or have an appointment with the doctor and i think their phones need to turn off when they need to when the teacher tells them to turn them off because other students are going to get distracted and might not pay attention on what there doing and they are not are going to do,Male,8,Hispanic/Latino,250,263,257,1,1,257,31.40977532,38.78326996,102,263,Independent,Not economically disadvantaged,Cell phones at school,2.5,2.5,2,3,2.5,2.5,3
FDCBCA9B0636,"Dear School Principal,

I believe that students should have cell phones in campus. If they have something they always wanted from a school. They'll be wanting to learn more. If there's a emergency somewhere where they cant get to the office immediately , they could use there cell phones to call other students to tell the teachers that there's an emergency. Parents won't be angry about this policy because they'll know that there children are learning in ways that they'll want to learn.

So, if they know that they can use there cell phones in school they wont be using it during class hours. Cell phones are really use full to students during school hours. It keeps them safe and will help there education in how they will want to learn. You should really reconsider to allow students to bring there cell phones to school. It will be helpful to them. Students will think that education is fun now. And If you really look at it there's not much time of break or free time. The only time they'll use their phones a lot is during lunch time.

Take my opinion and try it . You'll see that i was right. Our school will be fun for students our age. Parents might want to bring there younger children to this school when they get older.",Female,8,Hispanic/Latino,214,232,225,17,4,56.25,49.75206191,47.84482759,111,232,Independent,Economically disadvantaged,Cell phones at school,3.5,2.5,3.5,3.5,3,4,3.5
CEC71375C061,Policy1: I think we should be allowed to use our phones in lunch and free times a long as we don't use it in class. Maybe it would help us in a way cause is not fair to us that teachers do use the phone in class and we don't an that way it would be fair for both of us.,Female,8,Hispanic/Latino,58,63,61,2,1,61,52.64705882,65.07936508,41,63,Independent,Economically disadvantaged,Cell phones at school,2,2,2,2.5,2.5,3,2
6A86B01B87F0,"dear principal

i believe that you should allow the students have phones at school because in case of emergecy. Also if they get into trouble after school.",Male,8,Hispanic/Latino,27,27,27,2,2,13.5,189.28,96.2962963,26,27,Independent,Economically disadvantaged,Cell phones at school,2,1.5,2,2,2,2.5,2
